topic,direction,agent,condition,platform,dataset
3hu9k,positive,codex,2,github,alejo1630/opp_EDA
3hu9k,positive,codex,3,github,fatimakay/policing-the-police
3hu9k,positive,codex,3,osf,3hu9k
3hu9k,positive,codex,4,osf,3hu9k
3hu9k,positive,codex,4,github,fatimakay/policing-the-police
3hu9k,positive,codex,5,osf,3hu9k
3hu9k,positive,codex,5,github,fatimakay/policing-the-police
3hu9k,positive,gemini,0,osf,3hu9k
3hu9k,positive,gemini,0,github,fatimakay/policing-the-police
3hu9k,positive,gemini,1,osf,3hu9k
3hu9k,positive,gemini,1,github,fatimakay/policing-the-police
3hu9k,positive,gemini,2,osf,3hu9k
3hu9k,positive,gemini,2,github,fatimakay/policing-the-police
3hu9k,positive,gemini,2,github,yun-ch0i/driving-while-black
3hu9k,positive,gemini,3,osf,3hu9k
3hu9k,positive,gemini,3,github,fatimakay/policing-the-police
3hu9k,positive,gemini,4,osf,3hu9k
3hu9k,positive,gemini,5,osf,3hu9k
3hu9k,positive,gemini,5,osf,jntr6
3hu9k,positive,gemini,5,github,fatimakay/policing-the-police
6jmfx,negative,claude,0,osf,6jmfx
6jmfx,negative,claude,0,osf,xyjwh
6jmfx,negative,claude,1,osf,xyjwh
6jmfx,negative,claude,1,osf,6jmfx
6jmfx,negative,claude,2,osf,xyjwh
6jmfx,negative,claude,2,osf,6jmfx
6jmfx,negative,claude,2,osf,hx47d
6jmfx,negative,claude,2,osf,95ghd
6jmfx,negative,claude,3,osf,xyjwh
6jmfx,negative,claude,3,osf,6jmfx
6jmfx,negative,claude,4,osf,xyjwh
6jmfx,negative,claude,4,osf,6jmfx
6jmfx,negative,claude,5,osf,xyjwh
6jmfx,negative,claude,5,osf,6jmfx
6jmfx,negative,codex,0,osf,xyjwh
6jmfx,negative,codex,0,osf,6jmfx
6jmfx,negative,codex,0,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,negative,codex,0,osf,2fudc
6jmfx,negative,codex,1,osf,xyjwh
6jmfx,negative,codex,1,osf,6jmfx
6jmfx,negative,codex,1,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,negative,codex,1,osf,2fudc
6jmfx,negative,codex,1,osf,h4up2
6jmfx,negative,codex,2,osf,xyjwh
6jmfx,negative,codex,2,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,negative,codex,2,osf,6jmfx
6jmfx,negative,codex,3,osf,xyjwh
6jmfx,negative,codex,3,osf,6jmfx
6jmfx,negative,codex,3,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,negative,codex,4,osf,6jmfx
6jmfx,negative,codex,4,osf,h4up2
6jmfx,negative,codex,4,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,negative,codex,4,osf,wbkqv
6jmfx,negative,codex,4,osf,xyjwh
6jmfx,negative,codex,4,kaggle,researchailabs/genai-student-engagement-and-academic-impact
6jmfx,negative,codex,4,kaggle,balams81/ai-in-stem-education
6jmfx,negative,codex,4,osf,gzfv4
6jmfx,negative,codex,5,osf,6en4z
6jmfx,negative,codex,5,osf,v5c4u
6jmfx,negative,codex,5,kaggle,nudratabbas/ai-worker-burnout-and-attrition-risk-dataset
6jmfx,negative,codex,5,osf,x8976
6jmfx,negative,codex,5,osf,mty4c
6jmfx,negative,codex,5,osf,39x4v
6jmfx,negative,codex,5,osf,aphf8
6jmfx,negative,codex,5,osf,xyjwh
6jmfx,negative,codex,5,osf,qbgm3
6jmfx,negative,codex,5,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,negative,codex,5,kaggle,laveshjadon/ai-impact-on-students
6jmfx,negative,codex,5,osf,w6mjx
6jmfx,negative,codex,5,hf,achiepatricia/han-human-cognitive-load-signals-v1
6jmfx,negative,codex,5,osf,6jmfx
6jmfx,negative,gemini,0,osf,xyjwh
6jmfx,negative,gemini,0,osf,6jmfx
6jmfx,negative,gemini,0,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,negative,gemini,0,osf,m8prf
6jmfx,negative,gemini,1,osf,6jmfx
6jmfx,negative,gemini,1,osf,xyjwh
6jmfx,negative,gemini,1,osf,m8prf
6jmfx,negative,gemini,2,osf,6jmfx
6jmfx,negative,gemini,2,osf,xyjwh
6jmfx,negative,gemini,3,osf,6jmfx
6jmfx,negative,gemini,3,osf,xyjwh
6jmfx,negative,gemini,4,osf,6jmfx
6jmfx,negative,gemini,4,osf,xyjwh
6jmfx,negative,gemini,4,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,negative,gemini,4,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,negative,gemini,4,github,DataInfamous/silver-memory
6jmfx,negative,gemini,4,kaggle,balams81/ai-in-stem-education
6jmfx,negative,gemini,4,kaggle,xvgwest/ramnet-cognitive-dataset
6jmfx,negative,gemini,4,kaggle,jockeroika/what-happened
6jmfx,negative,gemini,4,osf,tz9pe
6jmfx,negative,gemini,4,osf,eba2j
6jmfx,negative,gemini,4,osf,sqytx
6jmfx,negative,gemini,4,osf,skjgq
6jmfx,negative,gemini,4,osf,4xt8m
6jmfx,negative,gemini,5,osf,6jmfx
6jmfx,negative,gemini,5,osf,yrgkv
6jmfx,negative,gemini,5,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,negative,gemini,5,osf,95ghd
6jmfx,negative,gemini,5,osf,xyjwh
6jmfx,negative,gemini,5,kaggle,researchailabs/genai-student-engagement-and-academic-impact
6jmfx,positive,claude,0,osf,6jmfx
6jmfx,positive,claude,0,osf,xyjwh
6jmfx,positive,claude,1,kaggle,jocelyndumlao/global-student-perceptions-of-chatgpt
6jmfx,positive,claude,1,osf,2fudc
6jmfx,positive,claude,1,osf,6jmfx
6jmfx,positive,claude,1,osf,xyjwh
6jmfx,positive,claude,2,osf,6jmfx
6jmfx,positive,claude,2,osf,xyjwh
6jmfx,positive,claude,3,osf,xyjwh
6jmfx,positive,claude,3,osf,6jmfx
6jmfx,positive,claude,3,osf,edkf6
6jmfx,positive,claude,4,osf,6jmfx
6jmfx,positive,claude,4,osf,xyjwh
6jmfx,positive,claude,5,osf,6jmfx
6jmfx,positive,claude,5,osf,xyjwh
6jmfx,positive,codex,0,osf,xyjwh
6jmfx,positive,codex,0,osf,6jmfx
6jmfx,positive,codex,0,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,positive,codex,0,osf,2fudc
6jmfx,positive,codex,1,osf,xyjwh
6jmfx,positive,codex,1,osf,6jmfx
6jmfx,positive,codex,1,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,positive,codex,2,osf,xyjwh
6jmfx,positive,codex,2,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,positive,codex,2,osf,6jmfx
6jmfx,positive,codex,2,github,pintophr/Assessing-the-Psychological-Impact-of-Generative-AI-on-Data-Science-Education
6jmfx,positive,codex,3,osf,xyjwh
6jmfx,positive,codex,3,osf,6jmfx
6jmfx,positive,codex,3,kaggle,drpedropinto/llms-dataset-ufpb
6jmfx,positive,codex,3,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,positive,codex,4,osf,m8prf
6jmfx,positive,codex,4,osf,deycn
6jmfx,positive,codex,4,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,positive,codex,4,osf,y6kfs
6jmfx,positive,codex,4,osf,6jmfx
6jmfx,positive,codex,4,kaggle,researchailabs/genai-student-engagement-and-academic-impact
6jmfx,positive,codex,4,osf,95ghd
6jmfx,positive,codex,4,osf,xyjwh
6jmfx,positive,codex,4,osf,h4up2
6jmfx,positive,codex,4,osf,gzfv4
6jmfx,positive,codex,4,osf,ef3b5
6jmfx,positive,codex,4,osf,2fudc
6jmfx,positive,codex,4,osf,3e7nd
6jmfx,positive,codex,5,osf,3uyna
6jmfx,positive,codex,5,github,carolineozone/motivation-llm-inference
6jmfx,positive,codex,5,osf,6jmfx
6jmfx,positive,codex,5,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,positive,codex,5,osf,2fudc
6jmfx,positive,codex,5,osf,h4up2
6jmfx,positive,codex,5,kaggle,meruvakodandasuraj/global-ai-adoption-and-workforce-impact-survey-24-26
6jmfx,positive,codex,5,osf,6pvqy
6jmfx,positive,codex,5,osf,bxsrd
6jmfx,positive,codex,5,osf,qspwd
6jmfx,positive,codex,5,kaggle,researchailabs/genai-student-engagement-and-academic-impact
6jmfx,positive,codex,5,osf,3jqga
6jmfx,positive,codex,5,osf,xyjwh
6jmfx,positive,gemini,0,osf,6jmfx
6jmfx,positive,gemini,0,osf,xyjwh
6jmfx,positive,gemini,0,osf,m8prf
6jmfx,positive,gemini,1,osf,6jmfx
6jmfx,positive,gemini,1,osf,xyjwh
6jmfx,positive,gemini,2,osf,xyjwh
6jmfx,positive,gemini,2,osf,6jmfx
6jmfx,positive,gemini,3,osf,6jmfx
6jmfx,positive,gemini,3,osf,xyjwh
6jmfx,positive,gemini,4,osf,6jmfx
6jmfx,positive,gemini,4,github,DataInfamous/silver-memory
6jmfx,positive,gemini,4,kaggle,jockeroika/what-happened
6jmfx,positive,gemini,4,osf,xyjwh
6jmfx,positive,gemini,4,osf,sqytx
6jmfx,positive,gemini,4,osf,j7f6v
6jmfx,positive,gemini,4,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
6jmfx,positive,gemini,5,osf,6jmfx
6jmfx,positive,gemini,5,osf,xyjwh
6jmfx,positive,gemini,5,kaggle,sridipbasu/ai-depndency-career-anxiety-and-student-burnout
av,negative,claude,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,3,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,negative,claude,3,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,claude,3,github,wgetsnaps/ca-dmv-autonomous-vehicle-accidents
av,negative,claude,3,github,saquibmh/Automated-California-AV-Dataset
av,negative,claude,4,github,xuyimingxym/CA-AV-Collision-Data
av,negative,claude,4,github,saquibmh/Automated-California-AV-Dataset
av,negative,claude,4,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,claude,4,kaggle,thedevastator/tesla-accident-fatalities-analysis-and-statistic
av,negative,claude,4,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,negative,claude,4,kaggle,kmkim24/2021-autonomous-vehicle-disengagement-reports
av,negative,claude,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,4,github,wgetsnaps/ca-dmv-autonomous-vehicle-accidents
av,negative,claude,4,github,manimalakumar/Autonomous-Vehicle-CA-DMV
av,negative,claude,4,kaggle,anokas/2015-us-traffic-fatalities
av,negative,claude,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,claude,5,kaggle,ibriiee/tesla-autonomous-deaths-data-updated-2023
av,negative,claude,5,kaggle,lordvoldemortt/fatal-motor-vehicle-crashes-2022-nhsta
av,negative,claude,5,github,AmolikaSinha/Autonomous-Vehicle-Trial-Data-DMV
av,negative,claude,5,github,rguptafolio/Autonomous-Vehicle-Safety-Analysis
av,negative,codex,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,0,github,melyabroudi/OL316-Parsing-
av,negative,codex,0,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,codex,0,github,galravid/Autonomous-Vehicle-Accidents
av,negative,codex,0,github,Shahrzadch/Autonomous-Vehicle-Accidents
av,negative,codex,0,github,AbhinaviMadireddy/Autonomous-Vehicle-Safety-Analysis
av,negative,codex,1,github,saquibmh/Automated-California-AV-Dataset
av,negative,codex,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,1,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,codex,1,github,xuyimingxym/CA-AV-Collision-Data
av,negative,codex,1,github,melyabroudi/OL316-Parsing-
av,negative,codex,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,2,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,codex,2,github,melyabroudi/OL316-Parsing-
av,negative,codex,2,github,saquibmh/Automated-California-AV-Dataset
av,negative,codex,2,kaggle,thedevastator/road-traffic-injuries-in-california
av,negative,codex,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,3,github,saquibmh/Automated-California-AV-Dataset
av,negative,codex,3,github,melyabroudi/OL316-Parsing-
av,negative,codex,3,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,codex,3,osf,5hkmd
av,negative,codex,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,4,github,sjlloyd07/nhtsa_fatal_crash_report
av,negative,codex,4,github,kjhealy/farsdata
av,negative,codex,4,github,saquibmh/Automated-California-AV-Dataset
av,negative,codex,4,kaggle,sachinbagale/road-traffic-injuries
av,negative,codex,4,github,ItzelXu/traffic-fatalities-sql-analysis
av,negative,codex,4,github,prathyushapingili421/Analysis-of-Road-Accident-in-California
av,negative,codex,4,hf,claritystorm/nhtsa-fars-1975-2023
av,negative,codex,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,codex,5,hf,claritystorm/nhtsa-fars-1975-2023
av,negative,codex,5,github,saquibmh/Automated-California-AV-Dataset
av,negative,codex,5,kaggle,nhtsa/2015-traffic-fatalities
av,negative,codex,5,osf,5hkmd
av,negative,codex,5,kaggle,ibriiee/tesla-autonomous-deaths-data-updated-2023
av,negative,codex,5,kaggle,lordvoldemortt/fatal-motor-vehicle-crashes-2022-nhsta
av,negative,codex,5,github,readytensor/rt-datasets-fars
av,negative,codex,5,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,negative,codex,5,github,Kchunilal/nhtsa-ads-analysis
av,negative,codex,5,kaggle,kmkim24/2021-autonomous-vehicle-disengagement-reports
av,negative,codex,5,osf,bu5d2
av,negative,codex,5,osf,n46k5
av,negative,gemini,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,0,github,xuyimingxym/CA-AV-Collision-Data
av,negative,gemini,0,github,FrancoisPoinsignon/DMV_AV_Crash_Extractor
av,negative,gemini,0,github,manimalakumar/Autonomous-Vehicle-CA-DMV
av,negative,gemini,0,kaggle,thedevastator/road-traffic-injuries-in-california
av,negative,gemini,0,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,gemini,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,2,github,saquibmh/Automated-California-AV-Dataset
av,negative,gemini,2,github,xuyimingxym/CA-AV-Collision-Data
av,negative,gemini,2,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,gemini,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,3,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,negative,gemini,3,github,wgetsnaps/ca-dmv-autonomous-vehicle-accidents
av,negative,gemini,3,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,negative,gemini,3,github,saquibmh/Automated-California-AV-Dataset
av,negative,gemini,3,github,galravid/Autonomous-Vehicle-Accidents
av,negative,gemini,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,negative,gemini,5,osf,p9ysc
av,negative,gemini,5,github,trust-ai/SafeBench
av,negative,gemini,5,osf,5hkmd
av,negative,gemini,5,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,claude,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,claude,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,claude,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,claude,3,github,AmolikaSinha/Autonomous-Vehicle-Trial-Data-DMV
av,positive,claude,3,github,Arjithab/Safety-in-Autonomous-vehicles
av,positive,claude,3,kaggle,sripaadsrinivasan/tesla-death-data
av,positive,claude,3,github,rguptafolio/Autonomous-Vehicle-Safety-Analysis
av,positive,claude,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,claude,3,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,claude,4,github,xuyimingxym/CA-AV-Collision-Data
av,positive,claude,4,github,rolandd/av-crashes
av,positive,claude,4,github,Arnold0824/ca_dmv_rear_end_injury
av,positive,claude,4,kaggle,anshankul/accident-in-california
av,positive,claude,4,kaggle,thedevastator/road-traffic-injuries-in-california
av,positive,claude,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,claude,4,github,saquibmh/Automated-California-AV-Dataset
av,positive,claude,4,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,claude,4,kaggle,sachinbagale/road-traffic-injuries
av,positive,claude,4,kaggle,petermayich/car-crashes-california-2006-2021
av,positive,claude,4,kaggle,kmkim24/2021-autonomous-vehicle-disengagement-reports
av,positive,claude,5,kaggle,nhtsa/2015-traffic-fatalities
av,positive,claude,5,kaggle,thedevastator/tesla-accident-fatalities-analysis-and-statistic
av,positive,claude,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,0,github,saquibmh/Automated-California-AV-Dataset
av,positive,codex,0,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,positive,codex,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,1,github,saquibmh/Automated-California-AV-Dataset
av,positive,codex,1,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,positive,codex,1,github,agude/SWITRS-to-SQLite
av,positive,codex,1,github,melyabroudi/OL316-Parsing-
av,positive,codex,1,github,galravid/Autonomous-Vehicle-Accidents
av,positive,codex,1,kaggle,thedevastator/road-traffic-injuries-in-california
av,positive,codex,1,osf,386kc
av,positive,codex,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,2,github,saquibmh/Automated-California-AV-Dataset
av,positive,codex,2,kaggle,petermayich/car-crashes-california-2006-2021
av,positive,codex,2,github,melyabroudi/OL316-Parsing-
av,positive,codex,2,github,xuyimingxym/CA-AV-Collision-Data
av,positive,codex,2,github,wgetsnaps/ca-dmv-autonomous-vehicle-accidents
av,positive,codex,2,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,positive,codex,2,github,agude/SWITRS-to-SQLite
av,positive,codex,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,3,kaggle,thedevastator/road-traffic-injuries-in-california
av,positive,codex,3,github,melyabroudi/OL316-Parsing-
av,positive,codex,3,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,codex,3,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,positive,codex,3,github,saquibmh/Automated-California-AV-Dataset
av,positive,codex,4,github,galravid/Autonomous-Vehicle-Accidents
av,positive,codex,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,4,github,saquibmh/Automated-California-AV-Dataset
av,positive,codex,4,github,xuyimingxym/CA-AV-Collision-Data
av,positive,codex,4,kaggle,thedevastator/road-traffic-injuries-in-california
av,positive,codex,5,osf,386kc
av,positive,codex,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,codex,5,kaggle,lordvoldemortt/fatal-motor-vehicle-crashes-2022-nhsta
av,positive,codex,5,kaggle,nhtsa/2015-traffic-fatalities
av,positive,codex,5,kaggle,napolendevesa/fatality-analysis-reporting-us-1975-2021
av,positive,codex,5,kaggle,ibriiee/tesla-autonomous-deaths-data-updated-2023
av,positive,codex,5,osf,n46k5
av,positive,codex,5,osf,p9ysc
av,positive,gemini,0,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,1,github,saquibmh/Automated-California-AV-Dataset
av,positive,gemini,1,github,galravid/Autonomous-Vehicle-Accidents
av,positive,gemini,1,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,gemini,1,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,2,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,3,kaggle,art12400/2019-autonomous-vehicle-disengagement-reports
av,positive,gemini,3,github,Arjithab/Safety-in-Autonomous-vehicles
av,positive,gemini,3,kaggle,kmkim24/2021-autonomous-vehicle-disengagement-reports
av,positive,gemini,3,kaggle,alexgude/california-traffic-collision-data-from-switrs
av,positive,gemini,3,github,wgetsnaps/ca-dmv-autonomous-vehicle-accidents
av,positive,gemini,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,3,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,4,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
av,positive,gemini,5,osf,d7skf
av,positive,gemini,5,hf,maxinelson/autonomous-vehicle-human-traffic-accidents-safety-california
fertility,negative,claude,0,github,zhouliqu/fertility-rate-collapse-europe
fertility,negative,claude,0,kaggle,gpreda/total-fertility-rate-in-europe
fertility,negative,claude,0,kaggle,gemartin/world-bank-data-1960-to-2016
fertility,negative,claude,0,kaggle,rishidamarla/fertility-rates-of-all-countries-1960present
fertility,negative,claude,0,kaggle,mdmuhtasimbillah/fertility-rate-vs-participation-in-workforce
fertility,negative,claude,0,kaggle,mdmuhtasimbillah/female-employment-vs-socioeconimic-factors
fertility,negative,claude,0,kaggle,gianinamariapetrascu/gender-pay-gap-europe-2010-2021
fertility,negative,claude,0,kaggle,gpreda/unemployment-in-european-union
fertility,negative,claude,1,github,zhouliqu/fertility-rate-collapse-europe
fertility,negative,claude,1,github,KMlynkowiak/economic-factors-vs-fertility
fertility,negative,claude,1,kaggle,gpreda/total-fertility-rate-in-europe
fertility,negative,claude,1,kaggle,nicolasgonzalezmunoz/world-bank-world-development-indicators
fertility,negative,claude,1,kaggle,iamsouravbanerjee/human-development-index-dataset
fertility,negative,claude,1,kaggle,iamsouravbanerjee/gender-inequality-index-dataset
fertility,negative,claude,2,kaggle,gpreda/total-fertility-rate-in-europe
fertility,negative,claude,2,kaggle,elmoallistair/fertility-rate-19602020
fertility,negative,claude,2,kaggle,mdmuhtasimbillah/fertility-rate-vs-participation-in-workforce
fertility,negative,claude,2,kaggle,omarsobhy14/fertility-rate-per-country
fertility,negative,claude,2,kaggle,nicolasgonzalezmunoz/world-bank-world-development-indicators
fertility,negative,claude,2,kaggle,robertolofaro/selected-indicators-from-world-bank-20002019
fertility,negative,claude,2,kaggle,jbrans/united-nations-social-indicators
fertility,negative,claude,2,kaggle,gpreda/unemployment-in-european-union
fertility,negative,claude,2,kaggle,gianinamariapetrascu/gender-pay-gap-europe-2010-2021
fertility,negative,claude,2,kaggle,ibrahimshahrukh/european-housing-price-index-dataset
fertility,negative,claude,2,kaggle,gemartin/world-bank-data-1960-to-2016
fertility,negative,claude,2,kaggle,michaelmatta0/global-development-indicators-2000-2020
fertility,negative,claude,2,kaggle,zgrcemta/world-gdpgdp-gdp-per-capita-and-annual-growths
fertility,negative,claude,2,kaggle,lucalullo/european-employment-unemployment-rates-2015-2024
fertility,negative,claude,2,kaggle,abidhussai512/gdp-and-consumption-per-capita
fertility,negative,claude,2,kaggle,nitishabharathi/gdp-per-capita-all-countries
fertility,negative,claude,2,kaggle,ivanchvez/fertility
fertility,negative,claude,2,kaggle,umitka/global-gender-equality-indicators
fertility,negative,claude,2,kaggle,burhanykiyakoglu/infant-mortality-fertility-income
fertility,negative,claude,2,kaggle,saadaziz1985/population-collapse
fertility,negative,claude,2,kaggle,willianoliveiragibin/eu-funds-indicators-eu27
fertility,negative,claude,2,kaggle,gpreda/population-by-education-level-in-europe
fertility,negative,claude,3,kaggle,gpreda/total-fertility-rate-in-europe
fertility,negative,claude,3,kaggle,umarzafar/immigration-trends-and-population-in-europe
